Publication Years	records	% of 2314
2021	4	0.173
2020	203	8.773
2019	242	10.458
2018	241	10.415
2017	226	9.767
2016	150	6.482
2015	124	5.359
2014	133	5.748
2013	98	4.235
2012	108	4.667
2011	80	3.457
2010	59	2.550
2009	129	5.575
2008	111	4.797
2007	55	2.377
2006	55	2.377
2005	58	2.506
2004	51	2.204
2003	52	2.247
2002	43	1.858
2001	39	1.685
2000	11	0.475
1999	11	0.475
1998	16	0.691
1997	4	0.173
1996	2	0.086
1995	1	0.043
1994	4	0.173
1993	1	0.043
1992	3	0.130
(0 records (0.000%) do not contain data in the field being analyzed.)
