Publication Years	records	% of 596
2021	2	0.336
2020	47	7.886
2019	37	6.208
2018	41	6.879
2017	31	5.201
2016	26	4.362
2015	57	9.564
2014	42	7.047
2013	41	6.879
2012	19	3.188
2011	16	2.685
2010	19	3.188
2009	25	4.195
2008	39	6.544
2007	29	4.866
2006	15	2.517
2005	21	3.523
2004	8	1.342
2003	21	3.523
2002	18	3.020
2001	2	0.336
2000	14	2.349
1999	1	0.168
1998	11	1.846
1996	6	1.007
1995	1	0.168
1994	1	0.168
1993	2	0.336
1992	1	0.168
1973	1	0.168
1961	2	0.336
(0 records (0.000%) do not contain data in the field being analyzed.)
