Publication Years	records	% of 1099
2021	11	1.001
2020	70	6.369
2019	81	7.370
2018	98	8.917
2017	60	5.460
2016	56	5.096
2015	69	6.278
2014	49	4.459
2013	51	4.641
2012	45	4.095
2011	38	3.458
2010	46	4.186
2009	73	6.642
2008	41	3.731
2007	49	4.459
2006	41	3.731
2005	35	3.185
2004	31	2.821
2003	27	2.457
2002	23	2.093
2001	17	1.547
2000	24	2.184
1999	12	1.092
1998	15	1.365
1997	14	1.274
1996	7	0.637
1995	5	0.455
1994	7	0.637
1993	3	0.273
1992	1	0.091
(0 records (0.000%) do not contain data in the field being analyzed.)
