Publication Years	records	% of 9296
2021	21	0.226
2020	823	8.853
2019	945	10.166
2018	909	9.778
2017	807	8.681
2016	685	7.369
2015	650	6.992
2014	563	6.056
2013	491	5.282
2012	414	4.454
2011	355	3.819
2010	286	3.077
2009	370	3.980
2008	308	3.313
2007	257	2.765
2006	209	2.248
2005	184	1.979
2004	153	1.646
2003	180	1.936
2002	150	1.614
2001	117	1.259
2000	103	1.108
1999	52	0.559
1998	91	0.979
1997	43	0.463
1996	27	0.290
1995	29	0.312
1994	21	0.226
1993	20	0.215
1992	16	0.172
1991	5	0.054
1990	1	0.011
1987	1	0.011
1985	1	0.011
1977	1	0.011
1973	1	0.011
1971	1	0.011
1970	1	0.011
1969	2	0.022
1966	1	0.011
1961	2	0.022
(0 records (0.000%) do not contain data in the field being analyzed.)
