Publication Years	records	% of 2376
2021	1	0.042
2020	447	18.813
2019	591	24.874
2018	360	15.152
2017	215	9.049
2016	107	4.503
2015	77	3.241
2014	67	2.820
2013	47	1.978
2012	39	1.641
2011	25	1.052
2010	45	1.894
2009	30	1.263
2008	49	2.062
2007	36	1.515
2006	26	1.094
2005	28	1.178
2004	29	1.221
2003	18	0.758
2002	29	1.221
2001	25	1.052
2000	23	0.968
1999	12	0.505
1998	27	1.136
1997	8	0.337
1996	3	0.126
1995	4	0.168
1994	3	0.126
1993	3	0.126
1992	2	0.084
(0 records (0.000%) do not contain data in the field being analyzed.)
