Publication Years	records	% of 10374
2021	26	0.251
2020	875	8.435
2019	862	8.309
2018	789	7.606
2017	663	6.391
2016	650	6.266
2015	639	6.160
2014	511	4.926
2013	561	5.408
2012	495	4.772
2011	468	4.511
2010	412	3.971
2009	433	4.174
2008	352	3.393
2007	345	3.326
2006	294	2.834
2005	288	2.776
2004	221	2.130
2003	232	2.236
2002	209	2.015
2001	164	1.581
2000	147	1.417
1999	134	1.292
1998	137	1.321
1997	86	0.829
1996	81	0.781
1995	86	0.829
1994	58	0.559
1993	59	0.569
1992	51	0.492
1991	40	0.386
1990	5	0.048
1985	1	0.010
(0 records (0.000%) do not contain data in the field being analyzed.)
