Publication Years	records	% of 493
2020	20	4.057
2019	26	5.274
2018	25	5.071
2017	18	3.651
2016	24	4.868
2015	30	6.085
2014	21	4.260
2013	18	3.651
2012	17	3.448
2011	13	2.637
2010	16	3.245
2009	6	1.217
2008	9	1.826
2007	17	3.448
2006	11	2.231
2005	15	3.043
2004	21	4.260
2003	14	2.840
2002	17	3.448
2001	10	2.028
2000	10	2.028
1999	6	1.217
1998	22	4.462
1997	6	1.217
1996	16	3.245
1995	8	1.623
1994	16	3.245
1993	15	3.043
1992	12	2.434
1991	23	4.665
1990	7	1.420
1989	3	0.609
1988	1	0.203
(0 records (0.000%) do not contain data in the field being analyzed.)
