Word	X.period_P1	X.period_P2
connect	-34,3145	34,3145
propose	-32,0911	32,0911
vsl (variable speed limit)	-28,9165	28,9165
vehicle	-27,8136	27,8136
prediction	-25,7965	25,7965
energy	-24,7408	24,7408
bicycle	-22,7724	22,7724
autonomous	-22,3382	22,3382
smart	-21,7329	21,7329
electric	-21,4446	21,4446
deep	-21,0743	21,0743
consumption	-19,6034	19,6034
mobility	-19,055	19,055
mfd	-18,9587	18,9587
cooperative	-18,739	18,739
bike	-17,4675	17,4675
taxi	-17,3651	17,3651
improve	-16,8826	16,8826
trajectory	-16,1315	16,1315
congestion	-15,8301	15,8301
reduce	-15,2329	15,2329
cyber	-14,4851	14,4851
rout	-14,3046	14,3046
schedule	-14,3018	14,3018
impact	-14,1479	14,1479
park	-14,0476	14,0476
share	-13,798	13,798
drive	-13,5578	13,5578
rainfall	-13,5261	13,5261
big	-13,201	13,201
platoon	-12,9147	12,9147
strategy	-12,8352	12,8352
fatigue	-12,8127	12,8127
pedestrian	-12,645	12,645
segment	-12,6251	12,6251
challenge	-12,3804	12,3804
v2v	-12,2915	12,2915
base	-11,4544	11,4544
ev	-11,3461	11,3461
co2	-10,9939	10,9939
internet	-10,9681	10,9681
accuracy	-10,8707	10,8707
learn	-10,84	10,84
perimeter	-10,7782	10,7782
cloud	-10,6742	10,6742
fuel	-10,5989	10,5989
cavs	-10,4376	10,4376
safety	-10,2928	10,2928
charge	-10,0529	10,0529
framework	-9,9586	9,9586
stability	-9,9554	9,9554
cacc	-9,9143	9,9143
transport	-9,8437	9,8437
avs	-9,7985	9,7985
sensor	-9,7568	9,7568
uncertainty	-9,7129	9,7129
drop	-9,5857	9,5857
fundamental	-9,5162	9,5162
infrastructure	-9,4419	9,4419
selection	-9,3771	9,3771
cav	-9,3725	9,3725
wait	-9,3448	9,3448
optimization	-9,1584	9,1584
metric	-9,0116	9,0116
fire	-8,9979	8,9979
lattice	-8,9824	8,9824
dataset	-8,9655	8,9655
efficiency	-8,8688	8,8688
lstm	-8,7334	8,7334
evs	-8,7182	8,7182
datum	-8,5805	8,5805
temporal	-8,5502	8,5502
resilience	-8,5204	8,5204
centrality	-8,3196	8,3196
station	-8,1237	8,1237
ctm	-8,1179	8,1179
mkdv	-8,0894	8,0894
ship	-7,7974	7,7974
delivery	-7,7632	7,7632
electricity	-7,6839	7,6839
performance	-7,6733	7,6733
vanet	-7,6605	7,6605
consensus	-7,4746	7,4746
city	-7,417	7,417
world	-7,4116	7,4116
objective	-7,3031	7,3031
crosswalk	-7,2861	7,2861
bound	-7,2848	7,2848
balance	-7,2505	7,2505
forest	-7,1494	7,1494
rm	-7,1001	7,1001
scooter	-6,8976	6,8976
method	-6,706	6,706
risk	-6,4954	6,4954
betweenness	-6,4935	6,4935
road	-6,1844	6,1844
algorithm	-6,1207	6,1207
verify	-6,1171	6,1171
transmission	-6,1121	6,1121
datasets	-6,0966	6,0966
penetration	-6,0941	6,0941
v2i	-6,0906	6,0906
rear	-6,0899	6,0899
intelligent	-5,9989	5,9989
reliability	-5,9806	5,9806
cv	-5,9805	5,9805
utility	-5,9691	5,9691
spatial	-5,924	5,924
sustainability	-5,9236	5,9236
path	-5,9181	5,9181
privacy	-5,8897	5,8897
reinforcement	-5,8565	5,8565
navigation	-5,8442	5,8442
reroute	-5,8129	5,8129
