Word	X.period_P1	X.period_P2
manure	49,3554	-49,3554
soil	46,3819	-46,3819
grind	45,6815	-45,6815
plot	35,6793	-35,6793
ha	34,9419	-34,9419
nh	31,0206	-31,0206
lagoon	28,8137	-28,8137
litter	28,5655	-28,5655
runoff	28,5219	-28,5219
mug	26,5977	-26,5977
application	26,0592	-26,0592
kg	25,0338	-25,0338
gis	20,7337	-20,7337
waste	20,2992	-20,2992
poultry	19,9809	-19,9809
deposition	17,8193	-17,8193
po	17,3815	-17,3815
compost	17,3114	-17,3114
light	16,2067	-16,2067
phosphorus	16,1601	-16,1601
rzwqm	15,9735	-15,9735
leach	15,7994	-15,7994
turfgrass	15,7521	-15,7521
sod	15,5682	-15,5682
epic	14,4905	-14,4905
animal	14,439	-14,439
okeechobee	14,4373	-14,4373
gleam	14,4089	-14,4089
soluble	14,0706	-14,0706
describe	13,798	-13,798
model	13,7761	-13,7761
pasture	13,6969	-13,6969
menhaden	13,6538	-13,6538
rate	13,128	-13,128
nitrate	12,8482	-12,8482
zebra	12,578	-12,578
mineralization	12,5517	-12,5517
concentration	12,4475	-12,4475
florida	12,1529	-12,1529
neuse	12,0734	-12,0734
input	12,0674	-12,0674
salinity	11,6872	-11,6872
venice	11,5674	-11,5674
seagrass	11,5416	-11,5416
table	11,532	-11,532
m	11,4768	-11,4768
modelling	11,3524	-11,3524
cm	11,2786	-11,2786
harbour	11,204	-11,204
pamlico	11,0748	-11,0748
surface	10,6022	-10,6022
dung	10,4923	-10,4923
ill	10,3432	-10,3432
simple	10,1038	-10,1038
uptake	10,0607	-10,0607
e2	10,0477	-10,0477
bosque	9,9341	-9,9341
phosphor	9,9341	-9,9341
sit	9,7522	-9,7522
swine	9,6192	-9,6192
wetland	9,6183	-9,6183
predict	9,5459	-9,5459
agnps	9,5152	-9,5152
sediment	9,4529	-9,4529
tripton	9,1611	-9,1611
rhine	9,1483	-9,1483
mathematical	8,7678	-8,7678
mg	8,6849	-8,6849
nitrification	8,6625	-8,6625
chisel	8,5701	-8,5701
content	8,5185	-8,5185
ria	8,3809	-8,3809
walnut	8,3514	-8,3514
murray	8,3514	-8,3514
plow	8,3103	-8,3103
drainage	8,2867	-8,2867
datum	8,2627	-8,2627
disposal	8,2286	-8,2286
procedure	8,1957	-8,1957
qual2e	8,1622	-8,1622
netherlands	8,0824	-8,0824
mussel	7,9801	-7,9801
biosolids	7,9299	-7,9299
sorption	7,9141	-7,9141
geographic	7,8043	-7,8043
percent	7,8016	-7,8016
loss	7,7842	-7,7842
average	7,7019	-7,7019
zooplankton	7,6439	-7,6439
nonpoint	7,522	-7,522
depth	7,4727	-7,4727
hillslope	7,4606	-7,4606
phytase	7,388	-7,388
cattle	7,34	-7,34
gully	7,2636	-7,2636
material	7,1474	-7,1474
