year	records	var	label	cat	var_u
2020	29	t_1	 Transportation and Logic-Based AI	Transportation	_1
2019	48	t_1	 Transportation and Logic-Based AI	Transportation	_1
2018	34	t_1	 Transportation and Logic-Based AI	Transportation	_1
2017	35	t_1	 Transportation and Logic-Based AI	Transportation	_1
2016	27	t_1	 Transportation and Logic-Based AI	Transportation	_1
2015	29	t_1	 Transportation and Logic-Based AI	Transportation	_1
2014	20	t_1	 Transportation and Logic-Based AI	Transportation	_1
2013	20	t_1	 Transportation and Logic-Based AI	Transportation	_1
2012	16	t_1	 Transportation and Logic-Based AI	Transportation	_1
2011	20	t_1	 Transportation and Logic-Based AI	Transportation	_1
2010	17	t_1	 Transportation and Logic-Based AI	Transportation	_1
2009	23	t_1	 Transportation and Logic-Based AI	Transportation	_1
2008	29	t_1	 Transportation and Logic-Based AI	Transportation	_1
2007	9	t_1	 Transportation and Logic-Based AI	Transportation	_1
2006	12	t_1	 Transportation and Logic-Based AI	Transportation	_1
2005	13	t_1	 Transportation and Logic-Based AI	Transportation	_1
2004	12	t_1	 Transportation and Logic-Based AI	Transportation	_1
2003	9	t_1	 Transportation and Logic-Based AI	Transportation	_1
2002	20	t_1	 Transportation and Logic-Based AI	Transportation	_1
2001	16	t_1	 Transportation and Logic-Based AI	Transportation	_1
2000	21	t_1	 Transportation and Logic-Based AI	Transportation	_1
1999	8	t_1	 Transportation and Logic-Based AI	Transportation	_1
1998	28	t_1	 Transportation and Logic-Based AI	Transportation	_1
1997	4	t_1	 Transportation and Logic-Based AI	Transportation	_1
1996	2	t_1	 Transportation and Logic-Based AI	Transportation	_1
1995	6	t_1	 Transportation and Logic-Based AI	Transportation	_1
1994	5	t_1	 Transportation and Logic-Based AI	Transportation	_1
1993	2	t_1	 Transportation and Logic-Based AI	Transportation	_1
1992	6	t_1	 Transportation and Logic-Based AI	Transportation	_1
1991	9	t_1	 Transportation and Logic-Based AI	Transportation	_1
1990	11	t_1	 Transportation and Logic-Based AI	Transportation	_1
1989	2	t_1	 Transportation and Logic-Based AI	Transportation	_1
1988	2	t_1	 Transportation and Logic-Based AI	Transportation	_1
1987	7	t_1	 Transportation and Logic-Based AI	Transportation	_1
1985	1	t_1	 Transportation and Logic-Based AI	Transportation	_1
1982	1	t_1	 Transportation and Logic-Based AI	Transportation	_1
1981	1	t_1	 Transportation and Logic-Based AI	Transportation	_1
2021	1	t_2	 Transportation and Connexionnist AI	Transportation	_2
2020	447	t_2	 Transportation and Connexionnist AI	Transportation	_2
2019	591	t_2	 Transportation and Connexionnist AI	Transportation	_2
2018	360	t_2	 Transportation and Connexionnist AI	Transportation	_2
2017	215	t_2	 Transportation and Connexionnist AI	Transportation	_2
2016	107	t_2	 Transportation and Connexionnist AI	Transportation	_2
2015	77	t_2	 Transportation and Connexionnist AI	Transportation	_2
2014	67	t_2	 Transportation and Connexionnist AI	Transportation	_2
2013	47	t_2	 Transportation and Connexionnist AI	Transportation	_2
2012	39	t_2	 Transportation and Connexionnist AI	Transportation	_2
2011	25	t_2	 Transportation and Connexionnist AI	Transportation	_2
2010	45	t_2	 Transportation and Connexionnist AI	Transportation	_2
2009	30	t_2	 Transportation and Connexionnist AI	Transportation	_2
2008	49	t_2	 Transportation and Connexionnist AI	Transportation	_2
2007	36	t_2	 Transportation and Connexionnist AI	Transportation	_2
2006	26	t_2	 Transportation and Connexionnist AI	Transportation	_2
2005	28	t_2	 Transportation and Connexionnist AI	Transportation	_2
2004	29	t_2	 Transportation and Connexionnist AI	Transportation	_2
2003	18	t_2	 Transportation and Connexionnist AI	Transportation	_2
2002	29	t_2	 Transportation and Connexionnist AI	Transportation	_2
2001	25	t_2	 Transportation and Connexionnist AI	Transportation	_2
2000	23	t_2	 Transportation and Connexionnist AI	Transportation	_2
1999	12	t_2	 Transportation and Connexionnist AI	Transportation	_2
1998	27	t_2	 Transportation and Connexionnist AI	Transportation	_2
1997	8	t_2	 Transportation and Connexionnist AI	Transportation	_2
1996	3	t_2	 Transportation and Connexionnist AI	Transportation	_2
1995	4	t_2	 Transportation and Connexionnist AI	Transportation	_2
1994	3	t_2	 Transportation and Connexionnist AI	Transportation	_2
1993	3	t_2	 Transportation and Connexionnist AI	Transportation	_2
1992	2	t_2	 Transportation and Connexionnist AI	Transportation	_2
2020	143	t_3	 Transportation and Big Data	Transportation	_3
2019	202	t_3	 Transportation and Big Data	Transportation	_3
2018	167	t_3	 Transportation and Big Data	Transportation	_3
2017	145	t_3	 Transportation and Big Data	Transportation	_3
2016	103	t_3	 Transportation and Big Data	Transportation	_3
2015	55	t_3	 Transportation and Big Data	Transportation	_3
2014	25	t_3	 Transportation and Big Data	Transportation	_3
2013	12	t_3	 Transportation and Big Data	Transportation	_3
2012	5	t_3	 Transportation and Big Data	Transportation	_3
2011	2	t_3	 Transportation and Big Data	Transportation	_3
2010	3	t_3	 Transportation and Big Data	Transportation	_3
2009	2	t_3	 Transportation and Big Data	Transportation	_3
2008	2	t_3	 Transportation and Big Data	Transportation	_3
2006	2	t_3	 Transportation and Big Data	Transportation	_3
2005	1	t_3	 Transportation and Big Data	Transportation	_3
2004	2	t_3	 Transportation and Big Data	Transportation	_3
2003	2	t_3	 Transportation and Big Data	Transportation	_3
2000	2	t_3	 Transportation and Big Data	Transportation	_3
1998	1	t_3	 Transportation and Big Data	Transportation	_3
1991	1	t_3	 Transportation and Big Data	Transportation	_3
2021	2	t_4	 Transportation and Machine Learning	Transportation	_4
2020	533	t_4	 Transportation and Machine Learning	Transportation	_4
2019	735	t_4	 Transportation and Machine Learning	Transportation	_4
2018	565	t_4	 Transportation and Machine Learning	Transportation	_4
2017	431	t_4	 Transportation and Machine Learning	Transportation	_4
2016	384	t_4	 Transportation and Machine Learning	Transportation	_4
2015	314	t_4	 Transportation and Machine Learning	Transportation	_4
2014	260	t_4	 Transportation and Machine Learning	Transportation	_4
2013	257	t_4	 Transportation and Machine Learning	Transportation	_4
2012	205	t_4	 Transportation and Machine Learning	Transportation	_4
2011	156	t_4	 Transportation and Machine Learning	Transportation	_4
2010	159	t_4	 Transportation and Machine Learning	Transportation	_4
2009	122	t_4	 Transportation and Machine Learning	Transportation	_4
2008	147	t_4	 Transportation and Machine Learning	Transportation	_4
2007	120	t_4	 Transportation and Machine Learning	Transportation	_4
2006	82	t_4	 Transportation and Machine Learning	Transportation	_4
2005	88	t_4	 Transportation and Machine Learning	Transportation	_4
2004	89	t_4	 Transportation and Machine Learning	Transportation	_4
2003	58	t_4	 Transportation and Machine Learning	Transportation	_4
2002	73	t_4	 Transportation and Machine Learning	Transportation	_4
2001	42	t_4	 Transportation and Machine Learning	Transportation	_4
2000	39	t_4	 Transportation and Machine Learning	Transportation	_4
1999	15	t_4	 Transportation and Machine Learning	Transportation	_4
1998	37	t_4	 Transportation and Machine Learning	Transportation	_4
1997	3	t_4	 Transportation and Machine Learning	Transportation	_4
1996	3	t_4	 Transportation and Machine Learning	Transportation	_4
1995	1	t_4	 Transportation and Machine Learning	Transportation	_4
1994	2	t_4	 Transportation and Machine Learning	Transportation	_4
2020	20	w_1	 Water & Logic-Based AI	Water	_1
2019	26	w_1	 Water & Logic-Based AI	Water	_1
2018	25	w_1	 Water & Logic-Based AI	Water	_1
2017	18	w_1	 Water & Logic-Based AI	Water	_1
2016	24	w_1	 Water & Logic-Based AI	Water	_1
2015	30	w_1	 Water & Logic-Based AI	Water	_1
