year	records	flnm	var	cat
2021	4	./data/traffic/res_area/computer_science.txt	computer_science	traffic
2020	203	./data/traffic/res_area/computer_science.txt	computer_science	traffic
2019	242	./data/traffic/res_area/computer_science.txt	computer_science	traffic
2018	241	./data/traffic/res_area/computer_science.txt	computer_science	traffic
2017	226	./data/traffic/res_area/computer_science.txt	computer_science	traffic
2016	150	./data/traffic/res_area/computer_science.txt	computer_science	traffic
2015	124	./data/traffic/res_area/computer_science.txt	computer_science	traffic
2014	133	./data/traffic/res_area/computer_science.txt	computer_science	traffic
2013	98	./data/traffic/res_area/computer_science.txt	computer_science	traffic
2012	108	./data/traffic/res_area/computer_science.txt	computer_science	traffic
2011	80	./data/traffic/res_area/computer_science.txt	computer_science	traffic
2010	59	./data/traffic/res_area/computer_science.txt	computer_science	traffic
2009	129	./data/traffic/res_area/computer_science.txt	computer_science	traffic
2008	111	./data/traffic/res_area/computer_science.txt	computer_science	traffic
2007	55	./data/traffic/res_area/computer_science.txt	computer_science	traffic
2006	55	./data/traffic/res_area/computer_science.txt	computer_science	traffic
2005	58	./data/traffic/res_area/computer_science.txt	computer_science	traffic
2004	51	./data/traffic/res_area/computer_science.txt	computer_science	traffic
2003	52	./data/traffic/res_area/computer_science.txt	computer_science	traffic
2002	43	./data/traffic/res_area/computer_science.txt	computer_science	traffic
2001	39	./data/traffic/res_area/computer_science.txt	computer_science	traffic
2000	11	./data/traffic/res_area/computer_science.txt	computer_science	traffic
1999	11	./data/traffic/res_area/computer_science.txt	computer_science	traffic
1998	16	./data/traffic/res_area/computer_science.txt	computer_science	traffic
1997	4	./data/traffic/res_area/computer_science.txt	computer_science	traffic
1996	2	./data/traffic/res_area/computer_science.txt	computer_science	traffic
1995	1	./data/traffic/res_area/computer_science.txt	computer_science	traffic
1994	4	./data/traffic/res_area/computer_science.txt	computer_science	traffic
1993	1	./data/traffic/res_area/computer_science.txt	computer_science	traffic
1992	3	./data/traffic/res_area/computer_science.txt	computer_science	traffic
2021	2	./data/traffic/res_area/mathematics.txt	mathematics	traffic
2020	47	./data/traffic/res_area/mathematics.txt	mathematics	traffic
2019	37	./data/traffic/res_area/mathematics.txt	mathematics	traffic
2018	41	./data/traffic/res_area/mathematics.txt	mathematics	traffic
2017	31	./data/traffic/res_area/mathematics.txt	mathematics	traffic
2016	26	./data/traffic/res_area/mathematics.txt	mathematics	traffic
2015	57	./data/traffic/res_area/mathematics.txt	mathematics	traffic
2014	42	./data/traffic/res_area/mathematics.txt	mathematics	traffic
2013	41	./data/traffic/res_area/mathematics.txt	mathematics	traffic
2012	19	./data/traffic/res_area/mathematics.txt	mathematics	traffic
2011	16	./data/traffic/res_area/mathematics.txt	mathematics	traffic
2010	19	./data/traffic/res_area/mathematics.txt	mathematics	traffic
2009	25	./data/traffic/res_area/mathematics.txt	mathematics	traffic
2008	39	./data/traffic/res_area/mathematics.txt	mathematics	traffic
