year	records	var
2020	12	Tr. Res. B
2019	13	Tr. Res. B
2018	18	Tr. Res. B
2017	28	Tr. Res. B
2016	15	Tr. Res. B
2015	14	Tr. Res. B
2014	11	Tr. Res. B
2013	10	Tr. Res. B
2012	5	Tr. Res. B
2011	11	Tr. Res. B
2010	5	Tr. Res. B
2009	5	Tr. Res. B
2008	5	Tr. Res. B
2007	3	Tr. Res. B
2006	1	Tr. Res. B
2005	3	Tr. Res. B
2003	3	Tr. Res. B
2002	4	Tr. Res. B
2001	6	Tr. Res. B
2000	3	Tr. Res. B
1999	2	Tr. Res. B
1998	1	Tr. Res. B
1997	4	Tr. Res. B
1996	1	Tr. Res. B
1995	6	Tr. Res. B
1994	3	Tr. Res. B
1993	1	Tr. Res. B
1992	4	Tr. Res. B
1991	1	Tr. Res. B
2020	32	Tr. Res. C
2019	31	Tr. Res. C
2018	30	Tr. Res. C
2017	23	Tr. Res. C
2016	27	Tr. Res. C
2015	28	Tr. Res. C
2014	21	Tr. Res. C
2013	19	Tr. Res. C
2012	9	Tr. Res. C
2011	12	Tr. Res. C
2010	6	Tr. Res. C
2009	3	Tr. Res. C
2008	7	Tr. Res. C
2007	2	Tr. Res. C
2006	5	Tr. Res. C
2005	4	Tr. Res. C
2004	1	Tr. Res. C
2003	7	Tr. Res. C
2002	3	Tr. Res. C
2001	3	Tr. Res. C
1999	2	Tr. Res. C
1998	2	Tr. Res. C
1997	3	Tr. Res. C
1996	3	Tr. Res. C
1995	3	Tr. Res. C
